Date,Price,Open,High,Low, Vol. ,Change %
02-14-24,1.0741,1.0225,1.0971,1.0108,"  43,170,000.00 ",5.05%
02-13-24,1.0225,1.0572,1.0843,1.0011,"  52,290,000.00 ",-3.42%
02-12-24,1.0587,0.9989,1.092,0.9519,"  73,950,000.00 ",6.08%
02-11-24,0.998,0.9309,1.066,0.9289,"  79,200,000.00 ",7.23%
02-10-24,0.9307,0.8984,0.9712,0.8913,"  61,180,000.00 ",3.53%
02-09-24,0.899,0.8284,0.8991,0.8278,"  39,520,000.00 ",8.54%
02-08-24,0.8283,0.8747,0.9001,0.8278,"  40,130,000.00 ",-5.25%
02-07-24,0.8742,0.8284,0.887,0.8105,"  39,100,000.00 ",5.55%
02-06-24,0.8282,0.7863,0.8645,0.7751,"  59,640,000.00 ",5.30%
02-05-24,0.7865,0.7693,0.8138,0.75,"  35,490,000.00 ",2.17%
02-04-24,0.7698,0.8294,0.8298,0.7669,"  42,140,000.00 ",-7.41%
02-03-24,0.8314,0.7815,0.8428,0.7409,"  47,450,000.00 ",6.34%
02-02-24,0.7818,0.7699,0.7969,0.749,"  29,870,000.00 ",1.44%
02-01-24,0.7707,0.7593,0.7876,0.7336,"  43,470,000.00 ",1.72%
01-31-24,0.7577,0.8547,0.868,0.755,"  83,370,000.00 ",-11.36%
01-30-24,0.8548,0.8384,0.9023,0.8221,"  76,170,000.00 ",1.81%
01-29-24,0.8396,0.8316,0.8736,0.8169,"  69,280,000.00 ",0.90%
01-28-24,0.8321,0.8843,0.913,0.8209,"  68,370,000.00 ",-5.80%
01-27-24,0.8833,0.837,0.9263,0.8205,"  112,950,000.00 ",5.49%
01-26-24,0.8373,0.7074,0.8407,0.6957,"  102,150,000.00 ",18.41%
01-25-24,0.7071,0.7713,0.776,0.6885,"  64,250,000.00 ",-8.30%
01-24-24,0.7711,0.7311,0.781,0.7129,"  94,880,000.00 ",5.27%
01-23-24,0.7325,0.7493,0.7721,0.6666,"  85,130,000.00 ",-2.28%
01-22-24,0.7496,0.8067,0.8386,0.7372,"  83,190,000.00 ",-7.14%
01-21-24,0.8072,0.7914,0.8611,0.7773,"  81,380,000.00 ",1.82%
01-20-24,0.7928,0.8478,0.8766,0.7793,"  89,830,000.00 ",-6.55%
01-19-24,0.8484,1.0202,1.0315,0.8156,"  163,530,000.00 ",-16.86%
01-18-24,1.0205,1.1128,1.1472,0.9758,"  163,580,000.00 ",-8.19%
01-17-24,1.1115,1.022,1.2231,0.9484,"  193,490,000.00 ",9.17%
01-16-24,1.0181,1.1429,1.1909,0.9686,"  202,220,000.00 ",-10.21%
01-15-24,1.1339,0.8805,1.1756,0.834,"  285,970,000.00 ",28.98%
